"Prioriteret 
anvendelse","Præparatnavn 
(lægemiddelnavn)",Dosering og dispenseringsform,author,title,creation date
11.-14. valg#,"E
            E
Cimzia (certolizumab 
pegol) 
relzi (etanercept) 
relzi (etanercept) 
 
 
 
Otezla (apremilast)","2
  5
    T
Induktion: 
400 mg s.c. i uge 0, 2 og 4  
Vedligeholdelse: 
400 mg s.c. hver 2. uge 
5 mg s.c. 2 gange om ugen 
eller 50 mg s.c. 1 gang om ugen  
0 mg s.c. 2 gange ugentligt i 12 
uger, om nødvendigt efterfulgt 
af 25 mg s.c. 2 gange ugentligt 
eller 50 mg s.c. 1 gang ugentligt 
itreringsforløb til maksimalt 30 
mg p.o. 2 gange dagligt",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Anvend som 1. valg 
til 80 % af 
patienterne*",Hyrimoz (adalimumab),"Induktion: 
80 mg s.c. i uge 0 og 40 mg i uge 
1  
Vedligeholdelse: 
40 mg s.c. hver 2. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
2. valg,Taltz (ixekizumab),"Induktion: 
160 mg s.c. i uge 0, 80 mg i uge 
2, 4, 6, 8, 10 og 12 
Vedligeholdelse: 
80 mg s.c. hver 4. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
3. valg,Cosentyx (secukinumab),"Induktion: 
300 mg s.c. i uge 0, 1, 2, 3 og 4 
Vedligeholdelse: 
300 mg s.c. 1 gang om måneden",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
4. valg¤,Zessly (infliximab),"Induktion: 
5 mg pr. kg legemsvægt i.v. i 
uge 0, 2 og 6  
Vedligeholdelse: 
5 mg pr. kg legemsvægt i.v. hver 
8. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
5. valg¤,"Cimzia (certolizumab 
pegol)","Induktion: 
400 mg s.c. i uge 0, 2 og 4  
Vedligeholdelse: 
200 mg s.c. hver 2. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
6. valg¤,Stelara (ustekinumab),"Voksne (< 100 kg).  
Induktion: 
45 mg s.c. i uge 0 og 4  
Vedligeholdelse: 
45 mg s.c.  hver 12. uge 
Voksne (> 100 kg).  
Induktion: 
90 mg s.c.  i uge 0 og 4  
Vedligeholdelse: 
90 mg s.c. hver 12. uge",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
7. valg – 10. valg#,"E
    E
            O
Cimzia (certolizumab 
pegol) 
relzi (etanercept) 
relzi (etanercept) 
tezla (apremilast)","T
Induktion: 
400 mg s.c. i uge 0, 2 og 4  
Vedligeholdelse: 
400 mg s.c. hver 2. uge  
 
25 mg s.c. 2 gange om ugen 
eller 50 mg s.c. 1 gang om ugen  
 
50 mg s.c. 2 gange ugentligt i 12 
uger, om nødvendigt efterfulgt 
af 25 mg s.c. 2 gange ugentligt 
eller 50 mg s.c. 1 gang ugentligt. 
Subkutan injektion. 
itreringsforløb til maksimalt 30 
mg p.o. 2 gange dagligt",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Anvend til min. 80 
% af populationen* 
(2. linje-
behandling)","R
    S
    G
    I
Brodalumab 
uselkumab  
xekizumab 
isankizumab  
ecukinumab","1
  1
  3
210 mg i uge 0, 1, 2 og herefter hver 2. uge. 
Subkutan injektion.                    
00 mg i uge 0, 4 og herefter hver 8. uge. 
Subkutan injektion.              
                                     
160 mg i uge 0, 80 mg i uge 2, 4, 6, 8, 10 og 
12. Herefter 80 mg hver 4. uge. Subkutan 
injektion.  
50 mg i uge 0, 4 og herefter hver 12. uge. 
Subkutan injektion.                                       
00 mg i uge 0, 1, 2, 3 og 4. Herefter 300 mg 
1 gang om måneden. Subkutan injektion.",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Overvej¤ 
(3. linje-
behandling)","I
            U
      T
Certolizumab pegol 
nfliximab 
ildrakizumab         
stekinumab","5
  1
  V
400 mg subkutan injektion i uge 0, 2, 4 og 
herefter 200 mg hver 2. uge.  
 mg pr. kg legemsvægt i uge 0, 2 og 6 og 
hver 8. uge herefter.  
Intravenøs infusion. 
00 mg i uge 0, 4 og hver 12. uge herefter. 
Hos patienter med visse karakteristika 
(eksempelvis relateret til sygdomsgrad eller 
legemsvægt ≥ 90 kg) kan 200 mg eventuelt 
give større effekt.  
Subkutan injektion.  
oksne (< 100 kg). 45 mg i uge 0, 4 og hver 
12. uge herefter.                                         
Voksne (> 100 kg). 90 mg i uge 0, 4 og hver 
12. uge  herefter.                                          
Børn (< 60 kg). 0,75 mg/kg i uge 0, 4 og hver 
12. uge herefter.  
Injektionsvæske.",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Anvend ikke 
rutinemæssigt 
(4. linje-
behandling)","E
      E
    D
    C
Apremilast                       
imethylfumarat§          
ertolizumab pegol        
                             
tanercept 
tanercept","2
  5
  T
  4
Titreringsforløb til maksimalt 30 mg 2 gange 
dagligt. Peroralt. 
itreringsforløb til maksimalt 720 mg/dag. 
Peroralt.  
00 mg i uge 0, 2, 4 og herefter 400 mg hver 
2. uge. Subkutan injektion. 
5 mg subkutan injektion 2 gange om ugen 
eller 50 mg 1 gang om ugen.  
Subkutan injektion. 
0 mg subkutan injektion 2 gange ugentligt i 
12 uger, om nødvendigt efterfulgt af 25 mg 2 
gange ugentligt eller 50  mg 1 gang ugentligt.  
Subkutan injektion.",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Anvend til 80 % 
af populationen* 
(2. linje-
behandling)","S
Ixekizumab                      
ecukinumab","160 mg i uge 0, 80 mg i uge 2, 4, 6, 8, 10 og 12. 
Herefter 80 mg hver 4. uge.  
Subkutan injektion. 
300 mg i uge 0, 1, 2, 3 og 4. Herefter 300 mg 1 
gang om måneden.  
Subkutan injektion.",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Overvej¤ 
(3. linje-
behandling)","U
Certolizumab pegol 
  
Infliximab            
stekinumab","5
  V
400 mg i uge 0, 2, 4 og herefter 200 mg hver 2. 
uge. Subkutan injektion.  
 mg pr. kg legemsvægt i uge 0, 2 og 6 og hver 
8. uge herefter. Intravenøs infusion. 
oksne (< 100 kg). 45 mg i uge 0, 4 og hver 12. 
uge herefter.  
Voksne (> 100 kg). 90 mg i uge 0, 4 og hver 12. 
uge herefter.  
Børn (< 60 kg). 0,75 mg/kg i uge 0, 4 og hver 
12. uge herefter.  
Injektionsvæske.",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Anvend ikke 
rutinemæssigt 
(4. linje-
behandling)","C
    E
    E
Apremilast 
ertolizumab pegol     
tanercept                     
tanercept","4
  2
  5
Titreringsforløb til maksimalt 30 mg 2 gange 
dagligt. Peroralt.  
00 mg i uge 0, 2, 4 og herefter 400 mg hver 2. 
uge. Subkutan injektion.  
5 mg 2 gange om ugen eller 50 mg 1 gang om 
ugen. Subkutan injektion.  
0 mg 2 gange ugentligt i 12 uger, om 
nødvendigt efterfulgt af 25 mg 2 gange 
ugentligt eller 50 mg 1 gang ugentligt.  
Subkutan injektion.",Medicinrådet,Medicinrådets lægemiddelrek. og behandlingsvejl. vedr. moderat til svær plaque psoriasis-vers. 1.2,2022-01-18 10:00:56+01:00
"Anvend som 1. valg til 
95 % af patienterne*",Aubagio (teriflunomid),14 mg p.o. x 1 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
2. valg,Tecfidera (dimethylfumarat),240 mg p.o.  x 2 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
3. valg,"Copaxone (glatirameracetat 
40 mg)",40 mg s.c. x 3 ugtl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
4. valg,"Copaxone (glatirameracetat 
20 mg)",20 mg s.c. x 1 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
5. valg,"Rebif (interferon beta-1a 22 
µg)",22 µg s.c. x 3 ugtl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
6. valg,Avonex (interferon beta-1a),30 µg i.m. x 1 ugtl. (pen),Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
7. valg,"Rebif (Abacus) (interferon 
beta-1a 44 µg)",44 µg s.c. x 3 ugtl. (sprøjte),Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
8. valg,"Plegidry (peg-interferon beta-
1a)",125 µg s.c. hver 2. uge,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
9. valg,"Extavia (Paranova) (interferon 
beta-1b)",250 µg s.c. hver 2. dag,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som 1. valg til 
95 % af patienterne*",Tecfidera (dimethylfumarat),240 mg p.o. x 2 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
2. valg,"Copaxone (glatirameracetat 
40 mg)",40 mg s.c. x 3 ugtl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
3. valg,"Copaxone (glatirameracetat 
20 mg)",20 mg s.c. x 1 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
4. valg,Aubagio (teriflunomid),14 mg p.o. x 1 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
5. valg,"Rebif (interferon beta-1a 22 
µg)",22 µg s.c. x 3 ugtl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
6. valg,Avonex (interferon beta-1a),30 µg i.m. x 1 ugtl. (pen),Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
7. valg,"Rebif (Abacus) (interferon 
beta-1a 44 µg)",44 µg s.c. x 3 ugtl. (sprøjte),Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
8. valg,"Plegidry (peg-interferon beta-
1a)",125 µg s.c. hver 2. uge,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
9. valg,"Extavia (Paranova) (interferon 
beta-1b)",250 µg s.c. hver 2. dag,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som 1. valg til 
50 - 95 % af 
patienterne*","Copaxone (glatirameracetat 
40 mg)",40 mg s.c. x 3 ugtl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
2. valg,"Copaxone (glatirameracetat 
20 mg)",20 mg s.c. x 1 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
3. valg,"Rebif (interferon beta-1 22 
µg)",22 µg s.c. x 3 ugtl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
4. valg,Avonex (interferon beta-1a),30 µg i.m. x 1 ugtl. (pen),Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
5. valg,"Rebif (Abacus) (interferon 
beta-1a 44 µg)",44 µg s.c. x 3 ugtl. (sprøjte),Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
6. valg,"Plegidry (peg-interferon beta-
1a)",125 µg s.c. hver 2. uge,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
7. valg,"Extavia (Paranova) (interferon 
beta-1b)",250 µg s.c. hver 2. dag,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
8. valg,Tecfidera (dimethylfumarat),240 mg p.o. x 2 dgl.,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som 1. valg til 
80 % af patienterne*",Tysabri (natalizumab),"3
00 mg i.v. hver 4. uge",Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
2. valg,Ocrevus (ocrelizumab),"6
00 mg i.v. hver 6. måned",Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
3. valg,Gilenya (fingolimod),"0,5 mg p.o x 1 dgl.",Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
4. valg,Mavenclad (cladribin),"1,75 mg/kg p.o. over to uger 
i år 1 og 2. Herefter ikke 
behov for cladribin i år 3 og 4.",Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som 1. valg til 
80 % af patienterne*",Ocrevus (ocrelizumab),600 mg i.v. hver 6. måned,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
2. valg,Gilenya (fingolimod),"0,5 mg p.o. x 1 dgl.",Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
3. valg,Mavenclad (cladribin),"1,75 mg/kg p.o. over to uger 
i år 1 og 2. Herefter ikke 
behov for cladribin i år 3 og 4.",Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som førstevalg 
til minimum 95 % af 
populationen","d
  t
imethylfumarat 240 mg p.o. x 2 dgl. eller  
eriflunomid 14 mg p.o. x 1 dgl.",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Overvej,"g
  i
  i
  i
  p
glatirameracetat 20 s.c. mg x 1 dgl. eller  
latirameracetat 40 mg s.c. x 3 ugtl. eller  
nterferon beta-1a 30 µg i.m. x 1 ugtl. eller  
nterferon beta-1a 22 µg s.c. x 3 ugtl. eller  
nterferon beta-1a 44 µg s.c. x 3 ugtl. eller  
eg-interferon beta-1a 125 µg s.c. hver 2. uge",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend ikke 
rutinemæssigt",interferon beta-1b 250 µg s.c. hver 2. dag,,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som førstevalg 
til minimum 95 % af 
populationen","d
imethylfumarat 240 mg p.o. x 2 dgl.",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Overvej,"g
  i
  i
  i
  p
 
teriflunomid 14 mg p.o. x 1 dgl. eller 
 
glatirameracetat 20 s.c. mg x 1 dgl. eller  
latirameracetat 40 mg s.c. x 3 ugtl. eller  
nterferon beta-1a 30 µg i.m. x 1 ugtl. eller  
nterferon beta-1a 22 µg s.c. x 3 ugtl. eller  
nterferon beta-1a 44 µg s.c. x 3 ugtl. eller  
eg-interferon beta-1a 125 µg s.c. hver 2. uge",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend ikke 
rutinemæssigt",interferon beta-1b 250 µg s.c. hver 2. dag,,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend som førstevalg 
til 50-95 % af 
populationen","g
  g
  i
  i
  i
  p
latirameracetat 20 s.c. mg x 1 dgl. eller  
latirameracetat 40 mg s.c. x 3 ugtl. eller  
nterferon beta-1a 30 µg i.m. x 1 ugtl. eller  
nterferon beta-1a 22 µg s.c. x 3 ugtl. eller  
nterferon beta-1a 44 µg s.c. x 3 ugtl. eller  
eg-interferon beta-1a 125 µg s.c. hver 2. uge",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Overvej,interferon beta-1b 250 µg s.c. hver 2. dag,,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend ikke 
rutinemæssigt",dimethylfumarat 240 mg p.o. x 2 dgl.,,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Anvend ikke,teriflunomid 14 mg p.o. x 1 dgl.,,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend til 80 % af 
populationen","n
atalizumab 300 mg i.v. hver 4. uge",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Overvej,"fingolimod 0,5 mg p.o. x 1 dgl. eller 
ocrelizumab 600 mg i.v. hver 6. måned",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend ikke 
rutinemæssigt","cladribin p.o. 1,75 mg/kg p.o. over to uger i år 1 og 2. Herefter 
ikke behov for cladribin i år 3 og 4.",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Anvend ikke,"alemtuzumab 12 mg/dag i.v. i 5 dage i måned 0 og i 3 dage i 
måned 12",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Anvend,,,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Overvej,"fingolimod 0,5 mg p.o. x 1 dgl. eller 
ocrelizumab 600 mg i.v. hver 6. måned",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
"Anvend ikke 
rutinemæssigt","cladribin p.o 1,75 mg/kg p.o. over to uger i år 1 og 2. Herefter 
ikke behov for cladribin i år 3 og 4",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
Anvend ikke,"alemtuzumab 12 mg/dag i.v. i 5 dage i måned 0 og i 3 dage i 
måned 12 eller 
natalizumab 300 mg i.v. hver 4. uge",,Camilla Vels Jensen,Medicinrådets lægemiddelrekom. og behandlingsvejl. vedr. attakvis multipel sklerose-vers. 1.4,2021-08-10 12:44:00+02:00
